Date,Product_Name,Category,Forecast_Sales,Expected_Revenue,Expected_Cost,Expected_Gross_Margin,Expected_Margin_Percentage,Final_Model,Final_MAPE,Demand_Level,Margin_Band,Risk_Level,Inventory_Action,Priority_Score,Safety_Stock,Reorder_Point,Recommendation
2026-04-01,Tractor Front Axle Bracket,Tractor,2413.91,4228959.17,3039366.52,1189592.65,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-05-01,Tractor Front Axle Bracket,Tractor,2252.97,3947012.14,2836730.28,1110281.86,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-06-01,Tractor Front Axle Bracket,Tractor,2055.12,3600395.76,2587615.98,1012779.78,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-07-01,Tractor Front Axle Bracket,Tractor,2009.15,3519859.55,2529734.35,990125.2,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-08-01,Tractor Front Axle Bracket,Tractor,1788.06,3132521.06,2251352.93,881168.13,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-09-01,Tractor Front Axle Bracket,Tractor,1696.16,2971528.5,2135647.06,835881.44,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-10-01,Tractor Front Axle Bracket,Tractor,2148.79,3764489.04,2705550.34,1058938.69,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-11-01,Tractor Front Axle Bracket,Tractor,2293.52,4018059.63,2887792.34,1130267.29,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-12-01,Tractor Front Axle Bracket,Tractor,2061.31,3611235.35,2595406.43,1015828.92,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-01-01,Tractor Linkage Balls,Tractor,1786.59,2818331.54,2024418.02,793913.52,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-02-01,Tractor Linkage Balls,Tractor,1813.8,2861252.36,2055248.21,806004.16,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-03-01,Tractor Linkage Balls,Tractor,1978.33,3120789.01,2241674.34,879114.67,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-04-01,Tractor Linkage Balls,Tractor,2014.26,3177472.89,2282390.58,895082.3,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-05-01,Tractor Linkage Balls,Tractor,1897.49,2993266.86,2150074.71,843192.15,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-06-01,Tractor Linkage Balls,Tractor,1481.74,2337422.52,1678979.29,658443.24,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-07-01,Tractor Linkage Balls,Tractor,1293.62,2040664.86,1465817.15,574847.71,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-08-01,Tractor Linkage Balls,Tractor,1208.74,1906766.22,1369637.26,537128.96,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-09-01,Tractor Linkage Balls,Tractor,1198.3,1890309.33,1357816.22,532493.11,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-10-01,Tractor Linkage Balls,Tractor,1571.28,2478668.3,1780436.65,698231.65,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-11-01,Tractor Linkage Balls,Tractor,1694.56,2673143.57,1920128.96,753014.61,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-12-01,Tractor Linkage Balls,Tractor,1548.89,2443351.39,1755068.39,688283.01,28.17,SARIMAX,4.815,High,High Margin,Low Risk,Increase Production,1358.94,706.27,1802.79,Increase Production
2026-01-01,Tractor Linkage Ends,Tractor,1329.82,2747634.6,1972500.4,775134.2,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-02-01,Tractor Linkage Ends,Tractor,1153.05,2382394.79,1710298.26,672096.53,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-03-01,Tractor Linkage Ends,Tractor,1036.64,2141873.54,1537630.38,604243.17,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-04-01,Tractor Linkage Ends,Tractor,1833.24,3787775.5,2719207.53,1068567.97,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-05-01,Tractor Linkage Ends,Tractor,1465.72,3028414.39,2174069.51,854344.88,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-06-01,Tractor Linkage Ends,Tractor,1123.95,2322277.66,1667140.75,655136.91,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-07-01,Tractor Linkage Ends,Tractor,1030.17,2128492.84,1528024.5,600468.34,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-08-01,Tractor Linkage Ends,Tractor,1120.44,2315009.46,1661922.99,653086.48,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-09-01,Tractor Linkage Ends,Tractor,1222.6,2526090.53,1813456.05,712634.48,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-10-01,Tractor Linkage Ends,Tractor,1283.0,2650883.54,1903043.75,747839.79,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-11-01,Tractor Linkage Ends,Tractor,1426.6,2947590.43,2116046.77,831543.66,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
2026-12-01,Tractor Linkage Ends,Tractor,1148.5,2372990.33,1703546.89,669443.44,28.21,SARIMA,10.093,Low,Moderate Margin,High Risk,Monitor Closely,981.31,638.03,1603.58,Monitor Closely
