Date,Product_Name,Category,Monthly_Sales,Unit_Price,Revenue,Rainfall_Index,Industrial_Index,Diesel_Price,Steel_Price,Govt_Subsidy_Flag,Festival_Flag,Estimated_Unit_Cost,Total_Cost,Gross_Margin,Margin_Percentage
2021-01-01,CNC Machine Parts,CNC,1090,3225.06,3515320.0,112.63,119.76,69.67,52.41,0,0,2086.7494902531184,2274556.944375899,1240763.0556241008,35.29587791791646
2021-02-01,CNC Machine Parts,CNC,1270,2313.39,2938008.86,125.43,121.33,68.64,54.48,0,0,1502.112017693009,1907682.2624701215,1030326.5975298784,35.06887305744471
2021-03-01,CNC Machine Parts,CNC,996,2307.47,2298238.48,130.23,123.25,67.44,53.29,0,0,1493.1160960075415,1487143.6316235114,811094.8483764885,35.2920228007186
2021-04-01,CNC Machine Parts,CNC,1123,2322.0,2607605.73,119.88,125.24,70.13,56.2,1,0,1514.9022095920557,1701235.1813718786,906370.5486281214,34.75872668174116
2021-05-01,CNC Machine Parts,CNC,1206,2669.23,3219095.35,114.91,128.19,68.35,54.25,1,0,1731.9311023566424,2088708.9094421107,1130386.4405578894,35.115034432201256
2021-06-01,CNC Machine Parts,CNC,1070,2642.39,2827352.43,97.55,125.61,69.29,48.88,0,0,1696.5860820448083,1815347.1077879448,1012005.3222120553,35.79339142421857
2021-07-01,CNC Machine Parts,CNC,1094,2623.75,2870385.52,85.31,132.08,72.39,45.15,0,0,1675.5756378421474,1833079.7477993092,1037305.7722006908,36.13820390930243
2021-08-01,CNC Machine Parts,CNC,1147,2498.94,2866281.72,68.48,131.78,74.8,47.59,0,0,1607.2446250103862,1843509.584886913,1022772.1351130872,35.68288936766088
2021-09-01,CNC Machine Parts,CNC,1120,2493.15,2792331.89,78.59,133.34,71.78,46.43,0,0,1595.706320826795,1787191.0793260105,1005140.8106739896,35.99646640407024
2021-10-01,CNC Machine Parts,CNC,1187,2483.13,2947479.6,75.38,136.77,70.47,44.43,1,1,1580.8837821733184,1876509.049439729,1070970.5505602711,36.3351302095618
2021-11-01,CNC Machine Parts,CNC,1151,2325.29,2676408.9,82.27,137.65,72.84,53.66,1,1,1512.3126407224447,1740671.849471534,935737.050528466,34.962409911597064
2021-12-01,CNC Machine Parts,CNC,1166,2328.17,2714648.72,98.03,139.66,73.68,54.23,0,0,1516.9952770062134,1768816.4929892449,945832.2270107553,34.84179076439604
2022-01-01,CNC Machine Parts,CNC,1112,2330.56,2591577.62,105.38,141.16,77.93,54.71,0,0,1525.1951914324482,1696017.0528728825,895560.5671271177,34.556578981690606
2022-02-01,CNC Machine Parts,CNC,1218,2785.61,3392869.94,135.66,145.43,73.68,62.52,0,0,1846.327650408747,2248827.078197854,1144042.8618021458,33.719030850977624
2022-03-01,CNC Machine Parts,CNC,1283,2794.95,3585925.08,119.0,139.86,76.03,64.39,0,0,1862.9964424031564,2390224.43560325,1195700.6443967503,33.344272892526526
2022-04-01,CNC Machine Parts,CNC,1235,2764.96,3414723.08,132.93,143.73,72.91,58.39,1,0,1816.074341804696,2242851.8121287995,1171871.2678712006,34.31819331807136
2022-05-01,CNC Machine Parts,CNC,1351,2493.6,3368854.55,118.61,146.01,77.81,59.72,1,0,1648.6570891548101,2227335.7274481487,1141518.8225518512,33.88447929732826
2022-06-01,CNC Machine Parts,CNC,1150,2488.09,2861306.56,102.45,154.74,75.01,58.62,0,0,1637.7011762571904,1883356.352695769,977950.2073042311,34.17844913843245
2022-07-01,CNC Machine Parts,CNC,1328,2466.13,3275022.22,85.9,152.64,74.22,54.23,0,0,1607.577046561978,2134862.317834307,1140159.9021656932,34.81380661184318
2022-08-01,CNC Machine Parts,CNC,1257,3093.11,3888043.9,70.54,156.89,73.81,56.02,0,0,2023.122922165299,2543065.513161781,1344978.3868382191,34.59267491393858
2022-09-01,CNC Machine Parts,CNC,1237,3053.82,3777577.39,71.95,158.18,75.65,48.16,0,0,1967.828154192903,2434203.426736621,1343373.963263379,35.56178536062709
2022-10-01,CNC Machine Parts,CNC,1292,3073.23,3970610.77,70.24,154.3,77.15,52.05,1,1,1998.9115212033303,2582593.6853947025,1388017.0846052975,34.95726891924231
2022-11-01,CNC Machine Parts,CNC,1155,2558.8,2955412.18,81.06,157.99,78.28,55.76,1,1,1678.6650115527443,1938858.0883434196,1016554.0916565806,34.396355897016726
2022-12-01,CNC Machine Parts,CNC,1329,2564.45,3408158.4,101.29,156.24,78.7,56.89,0,0,1686.853479525519,2241828.2742894148,1166330.1257105852,34.22171122417858
2023-01-01,CNC Machine Parts,CNC,1314,2577.1,3386304.61,115.04,166.01,80.53,59.42,0,0,1706.4454849956699,2242269.36728431,1144035.2427156898,33.784179938723526
2023-02-01,CNC Machine Parts,CNC,1430,2238.41,3200932.72,126.93,161.48,78.77,66.28,0,0,1500.934494076637,2146336.326529591,1054596.3934704093,32.94653420489292
2023-03-01,CNC Machine Parts,CNC,1447,2251.57,3258023.22,132.62,161.39,76.91,68.91,0,0,1515.6098099144992,2193087.3949462804,1064935.8250537198,32.68656338961635
2023-04-01,CNC Machine Parts,CNC,1476,2241.05,3307788.23,130.04,166.43,75.99,66.81,1,0,1501.0878725389387,2215605.6998674734,1092182.5301325265,33.018514311979594
2023-05-01,CNC Machine Parts,CNC,1426,3022.38,4309910.59,119.42,170.83,77.2,68.48,1,0,2033.1625303541703,2899289.768285047,1410620.821714953,32.72970035591744
2023-06-01,CNC Machine Parts,CNC,1441,2987.08,4304377.23,99.13,172.55,77.42,61.42,0,0,1981.1976865019633,2854905.866249329,1449471.3637506715,33.67435720197487
2023-07-01,CNC Machine Parts,CNC,1387,2976.6,4128550.02,75.6,170.23,79.63,59.32,0,0,1969.1873405940812,2731262.8414039905,1397287.1785960095,33.844501624713494
2023-08-01,CNC Machine Parts,CNC,1279,2012.87,2574466.69,74.57,176.98,81.06,55.77,0,0,1323.4394296704402,1692679.030548493,881787.659451507,34.25127475436503
2023-09-01,CNC Machine Parts,CNC,1333,2025.58,2700104.6,70.96,177.61,78.47,58.32,0,0,1336.0749546098439,1780987.914494922,919116.6855050782,34.0400399860464
2023-10-01,CNC Machine Parts,CNC,1330,2025.1,2693380.99,72.6,177.89,80.61,58.22,1,1,1337.7276521411482,1779177.777347727,914203.2126522732,33.94258799800444
2023-11-01,CNC Machine Parts,CNC,1280,2688.91,3441799.01,70.84,181.05,78.59,59.58,1,1,1778.3633500457372,2276305.0880585434,1165493.9219414564,33.86292803720274
2023-12-01,CNC Machine Parts,CNC,1522,2686.35,4088629.05,92.92,181.94,81.59,59.07,0,0,1778.987062863611,2707618.3096784162,1381010.7403215836,33.77686562985174
2024-01-01,CNC Machine Parts,CNC,1557,2731.3,4252627.78,110.84,188.85,82.04,68.06,0,0,1842.6424952159646,2868994.365051257,1383633.4149487433,32.53596332733224
2024-02-01,CNC Machine Parts,CNC,1471,2175.7,3200458.3,128.85,188.42,81.55,70.14,0,0,1473.3893723330282,2167355.7667018846,1033102.5332981152,32.27983108850739
2024-03-01,CNC Machine Parts,CNC,1511,2184.38,3300604.1,124.05,193.13,80.8,71.88,0,0,1483.56646773545,2241668.932748265,1058935.167251735,32.08307131569445
2024-04-01,CNC Machine Parts,CNC,1460,2176.39,3177529.33,129.0,188.37,82.26,70.28,1,0,1475.069225927314,2153601.0698538786,1023928.2601461215,32.22403804361175
2024-05-01,CNC Machine Parts,CNC,1334,1848.06,2465307.38,118.7,190.26,82.51,66.41,1,0,1243.094295282953,1658287.7899074594,807019.5900925405,32.73504945628892
2024-06-01,CNC Machine Parts,CNC,1509,1851.17,2793415.99,99.04,192.84,83.87,67.03,0,0,1248.0438404965298,1883298.1553092634,910117.8346907368,32.58081996912808
2024-07-01,CNC Machine Parts,CNC,1393,1847.65,2573778.85,84.45,193.93,83.15,66.33,0,0,1243.2305146273852,1731820.1068759477,841958.7431240524,32.71294047365617
2024-08-01,CNC Machine Parts,CNC,1344,3235.77,4348877.81,70.42,194.91,84.1,58.35,0,0,2143.880232948574,2881375.0330828833,1467502.7769171163,33.744401223292044
2024-09-01,CNC Machine Parts,CNC,1505,3251.56,4893591.38,74.9,196.77,81.01,61.51,0,0,2163.054957194785,3255397.7105781515,1638193.6694218484,33.47630691269218
2024-10-01,CNC Machine Parts,CNC,1396,3232.28,4512268.85,67.26,202.81,85.62,57.66,1,1,2141.0911269575904,2988963.213232796,1523305.6367672035,33.75919492844943
2024-11-01,CNC Machine Parts,CNC,1613,2286.03,3687366.34,83.02,202.06,83.84,63.21,1,1,1529.3616053572189,2466860.269441194,1220506.070558806,33.09966946649532
2024-12-01,CNC Machine Parts,CNC,1573,2332.26,3668651.83,99.46,206.95,87.96,72.45,0,0,1594.4474728152873,2508065.874738447,1160585.9552615532,31.635216669267663
2025-01-01,CNC Machine Parts,CNC,1649,2334.3,3849255.75,119.2,212.14,84.64,72.86,0,0,1593.1261004263288,2627064.9396030162,1222190.8103969838,31.751353762269076
2025-02-01,CNC Machine Parts,CNC,1653,2962.19,4896507.65,133.22,204.59,84.59,74.24,0,0,2027.1110703154475,3350814.5992314345,1545693.0507685659,31.567254893772418
2025-03-01,CNC Machine Parts,CNC,1633,2955.42,4826207.75,137.9,206.75,85.13,72.88,0,0,2017.8612967828824,3295167.497646447,1531040.2523535532,31.723463465772962
2025-04-01,CNC Machine Parts,CNC,1662,2962.78,4924144.16,128.31,214.56,86.59,74.36,1,0,2031.0639313712336,3375628.25393899,1548515.90606101,31.447412093252158
2025-05-01,CNC Machine Parts,CNC,1777,2319.85,4122368.84,110.82,219.67,84.64,73.57,1,0,1585.4946950695698,2817424.073138626,1304944.766861374,31.655216151434285
2025-06-01,CNC Machine Parts,CNC,1713,2307.82,3953291.12,100.03,217.16,87.68,71.16,0,0,1573.372955058514,2695187.8720152345,1258103.2479847656,31.824199377069036
2025-07-01,CNC Machine Parts,CNC,1638,2293.82,3757274.52,84.15,213.06,89.38,68.36,0,0,1557.1494246776085,2550610.7576219225,1206663.7623780775,32.11540056375964
2025-08-01,CNC Machine Parts,CNC,1567,2693.12,4220120.59,73.8,216.28,88.7,66.22,0,0,1819.4596814714612,2851093.3208657796,1369027.2691342202,32.440477468304294
2025-09-01,CNC Machine Parts,CNC,1508,2674.83,4033638.17,70.24,221.6,87.81,62.57,0,0,1792.6492806999827,2703315.115295574,1330323.0547044259,32.98072357105907
2025-10-01,CNC Machine Parts,CNC,1535,2702.51,4148347.2,74.8,222.89,88.86,68.1,1,1,1832.9077384724615,2813513.3785552285,1334833.8214447717,32.177485564486304
2025-11-01,CNC Machine Parts,CNC,1549,2667.57,4132060.91,85.13,225.92,89.02,67.11,1,1,1805.8552159011047,2797269.729430811,1334791.1805691891,32.30327939597553
2025-12-01,CNC Machine Parts,CNC,1738,2700.06,4692704.53,104.15,230.46,89.17,73.61,0,0,1851.8264480649989,3218474.366736968,1474230.1632630322,31.415363013767927
2020-02-01,CNC Parts Assembly,CNC,433,2059.29,891671.19,129.07,99.38,65.94,47.66,0,0,1315.2243733153725,569492.1536455563,322179.03635444364,36.132045082049096
2020-03-01,CNC Parts Assembly,CNC,438,2069.55,906464.14,124.58,105.96,65.45,49.71,0,0,1326.9975733206843,581224.9371144597,325239.2028855403,35.879985598276434
2020-04-01,CNC Parts Assembly,CNC,141,2082.13,293580.48,130.4,102.95,65.69,52.23,1,0,1342.428079469774,189282.35920523814,104298.12079476184,35.52624506737023
2020-05-01,CNC Parts Assembly,CNC,165,2768.95,456877.25,125.0,103.21,66.41,45.79,1,0,1762.1307178469,290751.5684447385,166125.6815552615,36.36111921862196
2020-06-01,CNC Parts Assembly,CNC,457,2781.93,1271340.17,96.58,109.57,63.44,48.39,0,0,1775.9087047380067,811590.2780652691,459749.8919347308,36.16261821843723
2020-07-01,CNC Parts Assembly,CNC,783,2755.93,2157892.91,88.65,109.04,65.32,43.19,0,0,1742.5863014848633,1364445.074062648,793447.8359373522,36.769564989087065
2020-08-01,CNC Parts Assembly,CNC,817,2097.38,1713556.86,74.55,112.55,70.06,39.08,0,0,1319.6554359841748,1078158.4911990708,635398.3688009293,37.08067024988767
2020-09-01,CNC Parts Assembly,CNC,708,2125.2,1504643.42,70.52,111.95,65.78,44.64,0,0,1348.4521800333703,954704.1434636262,549939.2765363738,36.549475392407174
2020-10-01,CNC Parts Assembly,CNC,1041,2106.72,2193094.57,66.93,115.04,66.51,40.94,1,1,1326.9667899689423,1381372.428357669,811722.1416423309,37.012637427775445
2020-11-01,CNC Parts Assembly,CNC,1078,2440.77,2631151.78,85.43,112.06,70.23,46.95,1,1,1561.9414428589112,1683772.8754019062,947378.9045980936,36.00624303771991
2020-12-01,CNC Parts Assembly,CNC,1113,2464.1,2742547.58,96.74,121.64,68.59,51.62,0,0,1590.3624919266497,1770073.453514361,972474.126485639,35.45878779195652
2021-01-01,CNC Parts Assembly,CNC,1047,2477.53,2593974.16,114.76,120.91,68.58,54.31,0,0,1608.0427756041813,1683620.786057578,910353.3739424222,35.09492839136155
2021-02-01,CNC Parts Assembly,CNC,1180,2877.46,3395399.9,138.09,124.17,68.94,53.89,0,0,1866.51731917298,2202490.4366241163,1192909.4633758836,35.133106512015964
2021-03-01,CNC Parts Assembly,CNC,1312,2901.17,3806339.94,133.23,120.31,68.43,58.63,0,0,1899.7537528611747,2492476.9237538613,1313863.0162461386,34.51775293212877
2021-04-01,CNC Parts Assembly,CNC,1321,2875.0,3797872.26,124.72,128.6,68.31,53.4,1,0,1862.0761736463028,2459802.625386766,1338069.6346132336,35.232086363358455
2021-05-01,CNC Parts Assembly,CNC,1115,2536.6,2828306.01,117.9,125.62,68.55,56.92,1,0,1655.308395399765,1845668.860870738,982637.1491292617,34.74295729157192
2021-06-01,CNC Parts Assembly,CNC,1261,2491.51,3141791.34,93.55,123.4,70.8,47.9,0,0,1598.3524357615727,2015522.421495343,1126268.9185046568,35.84798596155838
2021-07-01,CNC Parts Assembly,CNC,1209,2497.45,3019412.15,78.02,123.88,70.51,49.09,0,0,1605.8127820677396,1941427.6535198973,1077984.4964801027,35.70180031500843
2021-08-01,CNC Parts Assembly,CNC,1073,2863.62,3072664.93,74.88,129.22,72.37,48.92,0,0,1843.3512896955056,1977915.9338432774,1094748.9961567228,35.628648781978406
2021-09-01,CNC Parts Assembly,CNC,1127,2848.32,3210054.1,69.09,132.95,73.06,45.86,0,0,1822.7168120693445,2054201.8472021513,1155852.2527978488,36.00725149142654
2021-10-01,CNC Parts Assembly,CNC,1131,2853.53,3227344.19,69.31,137.36,72.47,46.91,1,1,1829.2367416203476,2068866.754772613,1158477.435227387,35.89568905656099
2021-11-01,CNC Parts Assembly,CNC,974,2627.91,2559588.27,94.38,132.16,73.09,52.98,1,1,1707.0495732050633,1662666.2843017317,896921.9856982683,35.04165088622899
2021-12-01,CNC Parts Assembly,CNC,1320,2636.55,3480243.3,96.44,143.93,72.61,54.71,0,0,1718.183683540576,2268002.4622735605,1212240.8377264393,34.832071588973086
2022-01-01,CNC Parts Assembly,CNC,1312,2667.19,3499356.21,109.99,141.98,75.03,60.84,0,0,1763.6338153964195,2313887.5658001024,1185468.6441998975,33.87676398339275
2022-02-01,CNC Parts Assembly,CNC,1277,3293.85,4206244.33,124.79,144.01,73.77,62.57,0,0,2183.570243723164,2788419.2012344804,1417825.1287655197,33.707626507885706
2022-03-01,CNC Parts Assembly,CNC,1441,3271.11,4713667.35,128.6,146.74,75.27,58.02,0,0,2150.880066774658,3099418.1762222825,1614249.1737777172,34.246141144807716
2022-04-01,CNC Parts Assembly,CNC,1371,3279.28,4495888.32,126.01,150.86,73.79,59.66,1,0,2161.0225719749833,2962761.946177702,1533126.3738222984,34.10063294949236
2022-05-01,CNC Parts Assembly,CNC,1317,1920.73,2529603.05,115.51,146.61,73.71,56.35,1,0,1257.0585297165946,1655546.0836367551,874056.9663632447,34.553127470463984
2022-06-01,CNC Parts Assembly,CNC,1281,1935.34,2479167.05,92.39,153.74,73.86,59.27,0,0,1274.4235164482243,1632536.5245701752,846630.5254298246,34.149797426108286
2022-07-01,CNC Parts Assembly,CNC,1248,1905.44,2377990.39,76.46,148.85,77.0,53.29,0,0,1242.4011581996865,1550516.6454332087,827473.7445667915,34.797186231134916
2022-08-01,CNC Parts Assembly,CNC,1244,2532.5,3150435.26,74.82,155.51,77.18,54.7,0,0,1656.3337811639842,2060479.2237679963,1089956.0362320035,34.596998391644576
2022-09-01,CNC Parts Assembly,CNC,1271,2519.88,3202769.64,63.37,155.72,75.45,52.18,0,0,1637.2236987382485,2080911.321096314,1121858.3189036862,35.02775550550324
2022-10-01,CNC Parts Assembly,CNC,1233,2525.76,3114267.07,67.33,158.32,74.18,53.35,1,1,1643.3853279099324,2026294.1093129467,1087972.9606870532,34.93512072768547
2022-11-01,CNC Parts Assembly,CNC,1421,2368.43,3365535.48,85.18,160.57,80.23,56.69,1,1,1559.149217364797,2215551.0378753766,1149984.4421246233,34.169434521148574
2022-12-01,CNC Parts Assembly,CNC,1497,2381.45,3565029.11,95.91,162.51,75.12,59.29,0,0,1569.8053544978504,2349998.6156832823,1215030.4943167176,34.0819235082408
2023-01-01,CNC Parts Assembly,CNC,1470,2415.46,3550723.51,111.86,160.34,77.11,66.09,0,0,1616.9556079135687,2376924.7436329457,1173798.766367054,33.05801657215079
2023-02-01,CNC Parts Assembly,CNC,1518,3310.35,5025105.76,121.46,169.17,75.12,68.87,0,0,2225.064387891721,3377647.740819632,1647458.0191803677,32.78454420390881
2023-03-01,CNC Parts Assembly,CNC,1497,3292.85,4929397.79,138.82,168.57,75.65,65.37,0,0,2198.5979425694813,3291301.1200265135,1638096.6699734866,33.23117223967203
2023-04-01,CNC Parts Assembly,CNC,1478,3309.93,4892083.41,134.3,170.57,77.0,68.79,1,0,2227.644947710381,3292459.2327159434,1599624.1772840568,32.69821961772432
2023-05-01,CNC Parts Assembly,CNC,1491,3076.9,4587661.34,113.72,169.22,76.21,63.38,1,0,2047.0107705253897,3052093.058853356,1535568.2811466437,33.471700880750795
2023-06-01,CNC Parts Assembly,CNC,1549,3053.82,4730372.29,107.12,174.09,79.97,58.76,0,0,2018.4943233047127,3126647.706799,1603724.583201,33.90271388557031
2023-07-01,CNC Parts Assembly,CNC,1420,3054.61,4337544.62,84.93,175.98,78.87,58.92,0,0,2017.9388500399084,2865473.16705667,1472071.4529433302,33.937897633507916
2023-08-01,CNC Parts Assembly,CNC,1313,1826.42,2398085.57,59.92,177.35,82.65,57.68,0,0,1207.078153658416,1584893.6157535003,813191.9542464996,33.91004743198132
2023-09-01,CNC Parts Assembly,CNC,1332,1811.16,2412468.24,73.25,178.28,79.7,54.63,0,0,1186.746122477015,1580745.835139384,831722.4048606162,34.475993966271496
2023-10-01,CNC Parts Assembly,CNC,1445,1817.86,2626810.07,69.44,176.7,80.3,55.97,1,1,1194.9996613654798,1726774.5106731183,900035.5593268815,34.26344255360958
2023-11-01,CNC Parts Assembly,CNC,1466,3271.0,4795281.38,92.44,179.26,81.11,61.0,1,1,2173.8973770629777,3186933.5547743253,1608347.8252256745,33.54021793035374
2023-12-01,CNC Parts Assembly,CNC,1552,3258.11,5056593.51,104.58,180.72,81.6,58.42,0,0,2154.773817451811,3344208.9646852105,1712384.5453147893,33.86438996783804
2024-01-01,CNC Parts Assembly,CNC,1602,3294.04,5277045.75,111.24,180.47,80.94,65.61,0,0,2209.48418993123,3539593.6722698305,1737452.0777301695,32.924711288132556
2024-02-01,CNC Parts Assembly,CNC,1568,3130.92,4909289.52,123.88,190.49,82.3,71.18,0,0,2125.8918682698554,3333398.449447133,1575891.0705528664,32.10018606832678
2024-03-01,CNC Parts Assembly,CNC,1397,3128.03,4369853.51,136.36,189.35,81.43,70.61,0,0,2120.1061832800538,2961788.338042235,1408065.1719577648,32.22225112891176
2024-04-01,CNC Parts Assembly,CNC,1533,3112.84,4771987.01,128.31,194.03,83.09,67.57,1,0,2099.67091298383,3218795.5096042114,1553191.5003957883,32.54810830668603
2024-05-01,CNC Parts Assembly,CNC,1557,2902.71,4519524.01,102.85,194.74,81.34,68.34,1,0,1958.3311697800225,3049121.631347495,1470402.3786525046,32.534452198927575
2024-06-01,CNC Parts Assembly,CNC,1519,2899.58,4404458.83,100.21,190.59,84.48,67.72,0,0,1958.498436994784,2974959.125795077,1429499.704204923,32.45573995307212
2024-07-01,CNC Parts Assembly,CNC,1534,2860.77,4388422.29,91.34,195.09,84.72,59.95,0,0,1902.5383319095072,2918493.801149184,1469928.4888508162,33.495602558586405
2024-08-01,CNC Parts Assembly,CNC,1532,3220.28,4933463.19,72.66,197.67,84.07,61.66,0,0,2148.001921611769,3290738.94390923,1642724.2460907702,33.29758797877582
2024-09-01,CNC Parts Assembly,CNC,1485,3224.08,4787753.4,67.17,195.56,82.2,62.42,0,0,2150.733627708194,3193839.4371466683,1593913.962853332,33.29147994241583
2024-10-01,CNC Parts Assembly,CNC,1532,3223.16,4937885.04,79.34,194.38,82.5,62.23,1,1,2149.791176257725,3293480.0820268346,1644404.9579731654,33.301807244446614
2024-11-01,CNC Parts Assembly,CNC,1656,2545.11,4214695.51,89.23,203.12,85.2,64.02,1,1,1707.2706648207327,2827240.2209431333,1387455.2890568664,32.919466798133335
2024-12-01,CNC Parts Assembly,CNC,1573,2559.61,4026268.71,98.16,198.89,87.69,66.92,0,0,1730.348953986276,2721838.9046204123,1304429.8053795877,32.397981837123524
2025-01-01,CNC Parts Assembly,CNC,1720,2583.98,4444453.56,102.95,210.98,84.95,71.8,0,0,1760.2345853058232,3027603.486726016,1416850.0732739838,31.879061264709986
2025-02-01,CNC Parts Assembly,CNC,1787,2374.49,4243214.75,122.6,210.89,82.91,75.3,0,0,1626.2745333535074,2906152.591102718,1337062.158897282,31.510593681295106
2025-03-01,CNC Parts Assembly,CNC,1672,2372.83,3967371.47,127.1,207.67,84.46,74.97,0,0,1625.9812440293103,2718640.640017007,1248730.8299829932,31.475016630670915
2025-04-01,CNC Parts Assembly,CNC,1767,2367.33,4183077.45,138.11,212.9,84.63,73.87,1,0,1618.8942655308435,2860586.1671930007,1322491.2828069995,31.615271259369095
2025-05-01,CNC Parts Assembly,CNC,1697,2058.71,3493630.28,125.44,208.64,84.23,76.94,1,0,1415.9776668152704,2402914.1005855137,1090716.179414486,31.22013756459903
2025-06-01,CNC Parts Assembly,CNC,1625,2007.42,3262050.32,96.21,217.14,88.2,66.68,0,0,1356.934744338849,2205018.95955063,1057031.36044937,32.40389499722279
2025-07-01,CNC Parts Assembly,CNC,1616,2021.58,3266867.83,85.28,217.4,88.2,69.52,0,0,1374.2812432550693,2220838.4891001917,1046029.3408998083,32.01933458384842
2025-08-01,CNC Parts Assembly,CNC,1650,3168.34,5227766.37,75.79,218.67,86.57,66.27,0,0,2137.2369862938635,3526441.027384875,1701325.3426151252,32.54402018380797
2025-09-01,CNC Parts Assembly,CNC,1538,3165.54,4868605.13,75.54,212.55,88.84,65.71,0,0,2136.6676535072097,3286194.8510940885,1582410.2789059114,32.50233355659122
2025-10-01,CNC Parts Assembly,CNC,1704,3180.4,5419404.34,84.16,225.28,87.16,68.68,1,1,2156.723313632725,3675056.5264301635,1744347.8135698363,32.18707636732336
2025-11-01,CNC Parts Assembly,CNC,1644,3049.14,5012789.19,85.66,225.28,89.66,65.43,1,1,2058.2385188005433,3383744.124908093,1629045.0650919075,32.497777252266765
2025-12-01,CNC Parts Assembly,CNC,1787,3086.36,5515333.82,93.4,225.39,88.3,72.87,0,0,2112.2859415337475,3774654.9775208067,1740678.8424791936,31.560715983628228
2020-02-01,Front Bumper Tractor,Tractor,359,1777.33,638059.72,127.71,93.64,65.44,48.07,0,0,1206.762528222027,433227.7476317077,204831.97236829228,32.10231988446039
2020-03-01,Front Bumper Tractor,Tractor,358,1783.47,638480.77,135.54,98.68,66.27,49.29,0,0,1214.6443062061835,434842.6616218137,203638.1083781863,31.894164702593358
2020-04-01,Front Bumper Tractor,Tractor,173,1800.68,311517.89,135.55,103.03,66.03,52.74,1,0,1234.5543881589847,213577.90915150434,97939.98084849567,31.439600739622264
2020-05-01,Front Bumper Tractor,Tractor,153,1732.42,265060.84,115.75,106.49,69.66,49.08,1,0,1182.424065511677,180910.8820232866,84149.95797671343,31.74741239660805
2020-06-01,Front Bumper Tractor,Tractor,336,1721.81,578526.97,105.25,107.79,66.01,46.96,0,0,1166.985743607555,392107.2098521385,186419.7601478615,32.22317537726227
2020-07-01,Front Bumper Tractor,Tractor,319,1702.6,543129.38,89.2,114.45,65.26,43.12,0,0,1144.4509635143022,365079.85736106243,178049.52263893757,32.78215636924992
2020-08-01,Front Bumper Tractor,Tractor,313,1713.98,536474.44,78.67,109.8,67.41,41.0,0,0,1149.0873835847785,359664.35106203565,176810.0889379643,32.957784333204074
2020-09-01,Front Bumper Tractor,Tractor,333,1723.7,573991.93,61.58,109.8,69.02,42.94,0,0,1161.5690095704751,386802.4801869682,187189.44981303182,32.61186090421721
2020-10-01,Front Bumper Tractor,Tractor,738,1725.22,1273215.49,77.2,118.27,67.41,43.24,1,1,1161.8562471635757,857449.9104067188,415765.57959328115,32.65476919333436
2020-11-01,Front Bumper Tractor,Tractor,807,1639.53,1323097.17,78.61,111.27,66.82,48.71,1,1,1115.7920679117365,900444.1988047713,422652.97119522863,31.94421247195538
2020-12-01,Front Bumper Tractor,Tractor,764,1629.12,1244643.96,98.48,117.09,68.45,46.62,0,0,1105.4713055259213,844580.0774218038,400063.8825781961,32.14283726393499
2021-01-01,Front Bumper Tractor,Tractor,764,1658.33,1266964.33,121.35,121.89,73.56,52.47,0,0,1142.8168238253415,873112.053402561,393852.2765974391,31.086295586351593
